iso3,iso3,country,disaggregation,disagg.value,region,subregion,section,environmental_impacts_land_use,environmental_impacts_freshwater_use,environmental_impacts_ghg_emissions_lifecycle,environmental_impacts_nitrogen_application,environmental_impacts_phosphorus_application,planetary_impacts_Cropland,planetary_impacts_Freshwater,planetary_impacts_Greenhouse gases,planetary_impacts_Nitrogen,planetary_impacts_Phosphorus
AFG,AFG,Afghanistan,food.group,beef_lamb,Asia,Southern Asia,Environmental Impacts,511.8408,0.7410889,22.0181,7.83279,1.243977,4.74712,1.843905,101.407,4.11008,3.57787
AFG,AFG,Afghanistan,food.group,eggs,Asia,Southern Asia,Environmental Impacts,0.795153,0.104992,0.544612,1.50962,0.221867,1.2939,0.508969,0.510397,1.19296,0.923013
AFG,AFG,Afghanistan,food.group,fish,Asia,Southern Asia,Environmental Impacts,0.010448,0.00173123,0.0562126,0.204722,0.04291,0.0326078,0.0150513,0.00464817,0.0445134,0.0466194
AFG,AFG,Afghanistan,food.group,fruit_veg,Asia,Southern Asia,Environmental Impacts,3.47439,4.96366,3.39083,28.6097,5.01748,6.06917,9.36769,1.26095,10.471,8.15182
AFG,AFG,Afghanistan,food.group,grains,Asia,Southern Asia,Environmental Impacts,30.4356,18.7687,19.521,201.377,27.612,50.3738,54.1162,7.41392,86.7136,65.3848
AFG,AFG,Afghanistan,food.group,legumes,Asia,Southern Asia,Environmental Impacts,2.13953,1.19335,0.263739,,,2.07528,1.27714,0.163344,,
AFG,AFG,Afghanistan,food.group,milk,Asia,Southern Asia,Environmental Impacts,107.288,0.362486,13.1018,4.61879,0.851143,6.38265,1.98214,14.6943,4.68916,5.13375
AFG,AFG,Afghanistan,food.group,nuts_seeds,Asia,Southern Asia,Environmental Impacts,1.4653,0.00680276,0.316475,3.8998,0.579095,2.11639,1.13103,0.390283,0.992394,0.804937
AFG,AFG,Afghanistan,food.group,oils,Asia,Southern Asia,Environmental Impacts,2.03853,0.0483817,1.76839,8.1854,1.53856,2.15503,0.47259,1.07227,1.75165,1.87579
AFG,AFG,Afghanistan,food.group,pork_poultry,Asia,Southern Asia,Environmental Impacts,0.927625,0.03183557,0.871794,2.2729353,0.53320778,1.16444187,0.42804211,0.4973997,1.13451372,0.92520812
AFG,AFG,Afghanistan,food.group,roots,Asia,Southern Asia,Environmental Impacts,0.382412,0.160822,0.225968,0.606598,0.104363,0.429837,0.390616,0.120169,0.483826,0.492023
AFG,AFG,Afghanistan,food.group,sugar,Asia,Southern Asia,Environmental Impacts,2.07634,0.84928,1.56301,13.4821,2.26678,2.14531,10.9884,0.51024,5.6628,4.40048
AGO,AGO,Angola,food.group,beef_lamb,Africa,Middle Africa,Environmental Impacts,1165.971,0.02817619,22.60603,4.93658,0.967106,2.640061,0.937422,74.5334,2.345841,2.094546
AGO,AGO,Angola,food.group,eggs,Africa,Middle Africa,Environmental Impacts,0.060198,0.000967962,0.0477127,0.168136,0.0268685,0.0588136,0.0231349,0.0231999,0.0542255,0.0419552
AGO,AGO,Angola,food.group,fish,Africa,Middle Africa,Environmental Impacts,0.0283128,0.00284785,1.40663,0.237393,0.0573571,0.218343,0.0986632,0.0339556,0.296015,0.309894
AGO,AGO,Angola,food.group,fruit_veg,Africa,Middle Africa,Environmental Impacts,4.75962,1.95998,2.42685,26.8477,4.59297,8.44628,17.6433,1.85434,15.1699,11.4792
AGO,AGO,Angola,food.group,grains,Africa,Middle Africa,Environmental Impacts,17.9632,0.41072,13.4162,75.4726,10.9494,25.2784,20.4756,3.406,42.7539,31.9585
